Periodo,Mes,Codigo_departamento,Departamento,Codigo_municipio,Municipio,Nombre_comercial,Bandera,Direccion,Producto,Precio,Estado,Dir2,Full_Address,Coords,LAT,LNG
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO BIOMAX PRIMERO DE MAYO,BIOMAX,CALLE 26 SUR No. 68H-85,BIODIESEL EXTRA,9960.0,A,CALLE 26 SUR No. 68H-85,"CALLE 26 SUR No. 68H-85, Bogota, d.c., Colombia","(4.61164, -74.13324)",4.61164,-74.13324
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO BIOMAX PRIMERO DE MAYO,BIOMAX,CALLE 26 SUR No. 68H-85,GASOLINA CORRIENTE OXIGENADA,9099.0,A,CALLE 26 SUR No. 68H-85,"CALLE 26 SUR No. 68H-85, Bogota, d.c., Colombia","(4.61164, -74.13324)",4.61164,-74.13324
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO SANTA SOFIA DE USME,BIOMAX,TRANSVERSAL 1 BIS No. 68B-33 SUR,GASOLINA CORRIENTE OXIGENADA,9185.0,A,TRANSVERSAL 1 BIS No. 68B-33 SUR,"TRANSVERSAL 1 BIS No. 68B-33 SUR, Bogota, d.c., Colombia","(4.62195, -74.12584)",4.62195,-74.12584
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO SANTA SOFIA DE USME,BIOMAX,TRANSVERSAL 1 BIS No. 68B-33 SUR,BIODIESEL EXTRA,8965.0,A,TRANSVERSAL 1 BIS No. 68B-33 SUR,"TRANSVERSAL 1 BIS No. 68B-33 SUR, Bogota, d.c., Colombia","(4.62195, -74.12584)",4.62195,-74.12584
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO LA SIBERIA,BIOMAX,CL 127 BIS 91B 31,GASOLINA CORRIENTE OXIGENADA,9369.0,A,CL 127 BIS 91B 31,"CL 127 BIS 91B 31, Bogota, d.c., Colombia","(4.72053, -74.09146)",4.72053,-74.09146
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO LA SIBERIA,BIOMAX,CL 127 BIS 91B 31,GASOLINA EXTRA OXIGENADA,14574.0,A,CL 127 BIS 91B 31,"CL 127 BIS 91B 31, Bogota, d.c., Colombia","(4.72053, -74.09146)",4.72053,-74.09146
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO LA SIBERIA,BIOMAX,CL 127 BIS 91B 31,BIODIESEL EXTRA,9175.0,A,CL 127 BIS 91B 31,"CL 127 BIS 91B 31, Bogota, d.c., Colombia","(4.72053, -74.09146)",4.72053,-74.09146
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO BRIO LA HERRADURA,BIOMAX,AVENIDA CIUDAD DE CALI No. 41A-22 SUR,BIODIESEL EXTRA,9340.0,A,AVENIDA CIUDAD DE CALI No. 41A-22 SUR,"AVENIDA CIUDAD DE CALI No. 41A-22 SUR, Bogota, d.c., Colombia","(4.63052, -74.16734)",4.63052,-74.16734
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO BRIO LA HERRADURA,BIOMAX,AVENIDA CIUDAD DE CALI No. 41A-22 SUR,GASOLINA CORRIENTE OXIGENADA,9520.0,A,AVENIDA CIUDAD DE CALI No. 41A-22 SUR,"AVENIDA CIUDAD DE CALI No. 41A-22 SUR, Bogota, d.c., Colombia","(4.63052, -74.16734)",4.63052,-74.16734
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AUTOMOTRIZ TERPEL COLON,TERPEL,AVENIDA CALLE  13 No. 55-34,BIODIESEL EXTRA,9060.0,A,AVENIDA CALLE  13 No. 55-34,"AVENIDA CALLE  13 No. 55-34, Bogota, d.c., Colombia","(4.60304, -74.07949)",4.60304,-74.07949
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AUTOMOTRIZ TERPEL COLON,TERPEL,AVENIDA CALLE  13 No. 55-34,GASOLINA CORRIENTE OXIGENADA,9050.0,A,AVENIDA CALLE  13 No. 55-34,"AVENIDA CALLE  13 No. 55-34, Bogota, d.c., Colombia","(4.60304, -74.07949)",4.60304,-74.07949
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS BIOMAX ORQUIDEAS,BIOMAX,CALLE 161 No.18-30,BIODIESEL EXTRA,9170.0,A,CALLE 161 No.18-30,"CALLE 161 No.18-30, Bogota, d.c., Colombia","(4.74139, -74.0425)",4.74139,-74.0425
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",EDS BIOMAX ORQUIDEAS,BIOMAX,CALLE 161 No.18-30,GASOLINA CORRIENTE OXIGENADA,9139.0,A,CALLE 161 No.18-30,"CALLE 161 No.18-30, Bogota, d.c., Colombia","(4.74139, -74.0425)",4.74139,-74.0425
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AUTOMOTRIZ SAN MARTIN DE TOURS,BIOMAX,CRA 1A NO 41A 34 SUR,GASOLINA CORRIENTE OXIGENADA,9350.0,A,CRA 1A NO 41A 34 SUR,"CRA 1A NO 41A 34 SUR, Bogota, d.c., Colombia","(4.55057, -74.09928)",4.55057,-74.09928
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO AUTOMOTRIZ SAN MARTIN DE TOURS,BIOMAX,CRA 1A NO 41A 34 SUR,BIODIESEL EXTRA,9100.0,A,CRA 1A NO 41A 34 SUR,"CRA 1A NO 41A 34 SUR, Bogota, d.c., Colombia","(4.55057, -74.09928)",4.55057,-74.09928
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO GNVERDE CARACAS 41 S,BIOMAX,CARRERA 14 No. 38-92 SUR,BIODIESEL EXTRA,9239.0,A,CARRERA 14 No. 38-92 SUR,"CARRERA 14 No. 38-92 SUR, Bogota, d.c., Colombia","(4.59151, -74.12247)",4.59151,-74.12247
2022,6,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ESTACION DE SERVICIO GNVERDE CARACAS 41 S,BIOMAX,CARRERA 14 No. 38-92 SUR,GASOLINA CORRIENTE OXIGENADA,9169.0,A,CARRERA 14 No. 38-92 SUR,"CARRERA 14 No. 38-92 SUR, Bogota, d.c., Colombia","(4.59151, -74.12247)",4.59151,-74.12247
